"Item Name","UPC Barcode","Item Number",Size,Color,Category,Price,Cost,Availability,Status
"Demo Racquet (rental)",,,,,Racquets,3.00,0.00,"Out of Stock",Active
"Demo Racquet Sale",,,,,Racquets,100.00,0.00,"Out of Stock",Active
"Diet Coke",,,,,Drinks,1.81,0.91,"Available (38)",Active
"Disc Rental",,,,,"Disc Golf",3.00,0.00,Unavailable,Active
"Discover Pack",,,,,"Disc Golf",19.99,11.00,Unavailable,Active
"Disk Lights",,,,,"Disc Golf",3.63,0.00,Unavailable,Active
"Dr Pepper",,,,,Drinks,1.81,0.91,"Available (5)",Active
"Drop-in (Twilight)",,,,,"Twilight Tennis",10.00,0.00,Unavailable,Active
"Dunlop Grand Prix",,,,,Balls,4.98,3.05,"Available (272)",Active
"DX Plastics",,,,,"Disc Golf",11.99,6.00,Unavailable,Active
"Excursion Pack",,,,,"Disc Golf",69.99,0.00,Unavailable,Active
"Fila Axilus 2 Energized Men's",,,,,Shoes,69.99,58.82,"Available (1)",Active
"Fila Axilus 2 Energized Women's",,,,,Shoes,69.99,58.82,"Available (1)",Active
"Fruit Bar",,,,,"Ice Cream",2.50,0.81,"Out of Stock",Active
"Gatorade Large",,,,,Drinks,4.00,2.39,"Available (24)",Active
"Gatorade Small",,,,,Drinks,3.00,1.01,"Available (49)",Active
"Granola Bar",,,,,Snacks,2.00,0.45,"Available (63)",Active
"Grape Soda",,,,,Drinks,1.81,0.55,"Available (33)",Active
"Grip Build-Up",,,,,Accessories,10.00,2.50,Unavailable,Active
"HALO STAR Plastics",,,,,"Disc Golf",20.99,11.75,Unavailable,Active
"Hat (non-premium)",,,,,Accessories,14.99,0.00,"Out of Stock",Active
"Hat (premium)",,,,,Accessories,39.99,31.04,"Available (8)",Active
"Head Tape (racket saver)",,,,,Accessories,4.99,2.88,"Available (4)",Active
"King Size Cone",,,,,"Ice Cream",3.50,2.58,"Out of Stock",Active
"Kit Kat",,,,,Snacks,2.00,1.46,"Available (26)",Active
"Kiwi Strawberry Soda",,,,,Drinks,1.81,0.55,"Available (32)",Active
"Lead Tape",,,,,Accessories,4.99,2.50,"Available (2)",Active
"Leather Grip",,,,,Accessories,17.99,10.78,"Available (8)",Active
"LMNT Packet",,,,,Drinks,2.00,0.75,"Available (154)",Active
"LMNT Sparkling",,,,,Drinks,3.62,2.00,"Available (22)",Active
"Luxilon 4G",,,,,String,36.99,11.66,"Available (19)",Active
"Luxilon 4G Rough",,,,,String,36.99,10.47,"Available (16)",Active
"Luxilon 4G Soft",,,,,String,36.99,10.47,"Available (22.5)",Active
"Luxilon Alu Power",,,,,String,36.99,10.47,"Available (11)",Active
"Luxilon Alu Power Rough",,,,,String,36.99,10.47,"Available (13.5)",Active
"Luxilon Alu Power Soft",,,,,String,36.99,10.47,"Available (18)",Active
"Luxilon Element",,,,,String,34.99,10.49,"Available (15.5)",Active
"LUXX Control Air Epic",,,,,Paddles,199.99,110.00,"Available (2)",Active
M&M's,,,,,Snacks,2.00,1.31,"Available (29)",Active
Magnum,,,,,"Ice Cream",3.50,2.22,"Out of Stock",Active
"Mountain Rush (Dew)",,,,,Drinks,1.81,0.55,"Available (9)",Active
"Natural Gut",,,,,String,59.99,49.40,"Available (2.5)",Active
"NEW LUXX Control Air Invikta",,,,,Paddles,279.99,168.00,"Available (3)",Active
NOCCO,,,,,Drinks,3.62,1.88,"Available (91)",Active
"NP Discount Card 10-Hr Package",,,,,"Discount Cards",75.00,0.00,"Out of Stock",Active
"NP Discount Card 20-Hr Package",,,,,"Discount Cards",130.00,0.00,"Out of Stock",Active
"Orange Soda",,,,,Drinks,1.81,0.55,"Available (15)",Active
"Otter Pop",,,,,"Ice Cream",0.50,0.00,Unavailable,Active
"Overgrip (single)",,,,,Accessories,3.00,0.74,"Available (233)",Active
"Peanut M&M's",,,,,Snacks,2.00,1.31,"Out of Stock",Active
"Pickle Bar",,,,,Snacks,3.00,1.50,"Available (17)",Active
Popcorn,,,,,Snacks,2.00,0.00,"Available (22)",Active
"PRO Plastics",,,,,"Disc Golf",14.99,7.75,Unavailable,Active
"ProPenn Marathon",,,,,Balls,5.43,3.46,"Available (264)",Active
"Protein Shake",,,,,Drinks,4.00,2.86,"Available (53)",Active
Reese's,,,,,Snacks,2.00,0.00,"Available (9)",Active
"Root Beer",,,,,Drinks,1.81,0.55,"Available (18)",Active
"SCTA Hat",,,,,Accessories,19.99,0.00,Unavailable,Active
"SCTA Hoodie",,,,,Accessories,29.99,0.00,Unavailable,Active
"SCTA Polo",,,,,Accessories,34.99,0.00,Unavailable,Active
"Selkirk Pro S1 Ball",,,,,Balls,12.99,8.00,"Out of Stock",Active
"Selkirk Team Backpack",,,,,Bags,79.99,40.00,"Available (1)",Active
"Selkirk Tour Backpack",,,,,Bags,129.99,65.00,"Available (1)",Active
"Senior Drop-in (10 week)",,,,,"Parks & Rec",12.50,0.00,"Out of Stock",Active
"Senior Drop-in (8 week)",,,,,"Parks & Rec",11.88,0.00,"Out of Stock",Active
Skittles,,,,,Snacks,2.00,0.00,"Available (42)",Active
"SLK Evo Control 2.0 Max",,,,,Paddles,79.99,45.00,"Out of Stock",Active
"SLK Halo Control Max",,,,,Paddles,119.99,60.00,"Out of Stock",Active
"SLK Halo Control XL",,,,,Paddles,129.99,60.00,"Available (2)",Active
"SLK Latitude 2.0",,,,,Paddles,69.99,30.00,"Out of Stock",Active
Snickers,,,,,Snacks,2.00,1.31,"Available (40)",Active
"Snickers Ice Cream",,,,,"Ice Cream",3.00,1.38,"Out of Stock",Active
"Solinco Confidential Soft",,,,,String,32.99,9.10,"Available (8)",Active
"Solinco Hyper-G",,,,,String,32.99,9.10,"Available (19.5)",Active
"Solinco Hyper-G Soft",,,,,String,32.99,9.10,"Available (27)",Active
"Solinco Mach 10",,,,,String,34.99,9.30,"Available (7)",Active
"Solinco Tour Bite",,,,,String,32.99,9.10,"Available (12)",Active
"Sour Patch Kids",,,,,Snacks,2.00,1.24,"Available (21)",Active
"Sour Punch Straws",,,,,Snacks,2.00,0.00,"Available (30)",Active
Sprite,,,,,Drinks,1.81,0.91,"Available (37)",Active
"Standard Pack",,,,,"Disc Golf",27.99,15.00,Unavailable,Active
"STAR Plastics",,,,,"Disc Golf",18.99,9.75,Unavailable,Active
"Starter Disc Golf Set",,,,,"Disc Golf",28.99,12.75,Unavailable,Active
"Starter Pack",,,,,"Disc Golf",14.99,8.00,Unavailable,Active
"Strawberry Shortcake",,,,,"Ice Cream",3.00,1.67,"Out of Stock",Active
"String Labor",,,,,String,20.00,0.00,"Out of Stock",Active
"String Labor SCTA",,,,,String,15.00,0.00,Unavailable,Active
Sunscreen,,,,,Accessories,3.00,1.19,"Available (3)",Active
"Synthetic Gut",,,,,String,23.99,0.00,"Out of Stock",Active
"Tecnifibre 4S",,,,,String,32.99,8.63,"Available (24.5)",Active
"Tecnifibre All-Vision BP",,,,,Bags,79.99,0.00,"Available (1)",Active
"Tecnifibre AxT Dampener",,,,,Accessories,9.99,4.50,"Available (23)",Active
"Tecnifibre AxT Duffle",,,,,Bags,119.99,53.50,"Available (3)",Active
"Tecnifibre Cap",,,,,Accessories,19.99,9.50,"Available (1)",Active
"Tecnifibre Fire 285",,,,,Racquets,249.99,155.50,"Out of Stock",Active
"Tecnifibre Fire 300",,,,,Racquets,259.99,162.00,"Available (4)",Active
"Tecnifibre Fire 305",,,,,Racquets,269.99,168.00,"Available (5)",Active
"Tecnifibre Leather Grip",,,,,Accessories,17.99,0.00,"Available (3)",Active
"Tecnifibre NRG2",,,,,String,36.99,11.44,"Available (2)",Active
"Tecnifibre Overgrip (3-pk)",,,,,Accessories,7.99,4.60,"Available (29)",Active
"Tecnifibre Razor Code",,,,,String,36.99,12.40,"Available (30)",Active
"Tecnifibre Razor Soft",,,,,String,36.99,15.50,"Available (13)",Active
"Tecnifibre Razor Spin",,,,,String,36.99,14.25,"Available (11)",Active
"Tecnifibre Red Code",,,,,String,29.99,5.81,"Available (18.5)",Active
"Tecnifibre Replacement Grip",,,,,Accessories,7.99,4.00,"Available (3)",Active
"Tecnifibre T Fight 285",,,,,Racquets,249.99,145.00,"Available (5)",Active
"Tecnifibre T Fight 300",,,,,Racquets,269.99,155.00,"Available (3)",Active
"Tecnifibre T Fight 300 (red)",,,,,Racquets,269.99,148.33,"Available (1)",Active
"Tecnifibre T Fight Tour 25""",,,,,Racquets,109.99,0.00,"Out of Stock",Active
"Tecnifibre T Fight Tour 26""",,,,,Racquets,109.99,0.00,"Available (2)",Active
"Tecnifibre Team Dry 12R",,,,,Bags,129.99,0.00,"Out of Stock",Active
"Tecnifibre Tempo 26""",,,,,Racquets,119.99,0.00,"Available (1)",Active
"Tecnifibre TF40 305 AxT",,,,,Racquets,349.99,155.00,"Available (3)",Active
"Tecnifibre Tour Endurance 12R",,,,,Bags,139.99,85.00,"Available (5)",Active
"Tecnifibre Tour Endurance 12R (blue)",,,,,Bags,139.99,93.50,"Out of Stock",Active
"Tecnifibre Tour Endurance 12R AxT",,,,,Bags,169.99,75.40,"Available (2)",Active
"Tecnifibre Tour Endurance BP",,,,,Bags,99.99,48.00,"Available (1)",Active
"Tecnifibre Tour Endurance Duffle",,,,,Bags,129.99,0.00,Unavailable,Active
"Tecnifibre Triax",,,,,String,36.99,12.00,"Available (13)",Active
"Tecnifibre Vibration Dampener (2-pk)",,,,,Accessories,5.99,0.00,"Available (13)",Active
"Tecnifibre Visor",,,,,Accessories,19.99,9.50,"Available (2)",Active
"Tennis Ball Hopper (rental)",,,,,Balls,3.00,0.00,"Out of Stock",Active
"Tiki Punch",,,,,Drinks,1.81,0.55,"Available (16)",Active
"Tourna Grip (3-pk)",,,,,Accessories,8.99,2.90,"Out of Stock",Active
"Trail Mix",,,,,Snacks,3.00,0.91,"Available (13)",Active
Twix,,,,,Snacks,2.00,1.37,"Available (40)",Active
"Twix Ice Cream",,,,,"Ice Cream",3.00,1.38,"Out of Stock",Active
"Vanguard Pro Epic Raw Carbon",,,,,Paddles,229.99,138.00,"Out of Stock",Active
"Vanguard Pro Invitka Raw Carbon",,,,,Paddles,229.99,138.00,"Available (2)",Active
"Vibration Dampener (single)",,,,,Accessories,2.00,1.49,"Available (140)",Active
Visor,,,,,Accessories,12.99,0.00,"Out of Stock",Active
"Water Large",,,,,Drinks,3.00,1.06,"Available (83)",Active
"Water Small",,,,,Drinks,2.00,0.00,"Available (112)",Active
"Wilson Blade 25""",,,,,Racquets,159.99,77.00,"Available (1)",Active
"Wilson Blade 26""",,,,,Racquets,159.99,77.00,"Available (2)",Active
"Wilson Blade 98",,,,,Racquets,299.99,154.00,"Available (8)",Active
"Wilson Blade 9PK",,,,,Bags,149.99,77.00,"Available (1)",Active
"Wilson Blade Backpack",,,,,Bags,119.99,57.75,"Out of Stock",Active
"Wilson Clash 100",,,,,Racquets,299.99,119.35,"Available (2)",Active
"Wilson Clash 100 PRO",,,,,Racquets,299.99,119.35,"Available (8)",Active
"Wilson Clash 100L",,,,,Racquets,289.99,111.65,"Available (7)",Active
"Wilson Clash 25""",,,,,Racquets,129.99,65.25,"Available (2)",Active
"Wilson Clash 26""",,,,,Racquets,129.99,65.25,"Available (2)",Active
"Wilson Clash 3PK",,,,,Bags,109.99,34.65,"Out of Stock",Active
"Wilson Clash 6PK",,,,,Bags,139.99,57.75,"Out of Stock",Active
"Wilson Clash Backpack",,,,,Bags,129.99,50.05,"Out of Stock",Active
"Wilson Defyer 100",,,,,Racquets,299.99,154.00,"Available (3)",Active
"Wilson Defyer 100L",,,,,Racquets,289.99,142.45,"Available (4)",Active
"Wilson Defyer 98 Pro",,,,,Racquets,299.99,154.00,"Available (3)",Active
"Wilson Duo Control Hybrid",,,,,String,39.99,12.70,"Available (6)",Active
"Wilson Duo Power Hybrid",,,,,String,39.99,12.70,"Available (19)",Active
"Wilson Intrigue Tour",,,,,Shoes,169.99,75.43,"Available (19)",Active
"Wilson Kaos Junior",,,,,Shoes,59.99,25.93,"Available (1)",Active
"Wilson Minions Jr. Racquet (all sizes)",,,,,Racquets,34.99,0.00,"Out of Stock",Active
"Wilson NXT",,,,,String,36.99,11.74,"Available (13.5)",Active
"Wilson Overgrip (3-pk)",,,,,Accessories,7.99,3.85,"Available (49)",Active
"Wilson Pickle Pro Men's",,,,,Shoes,79.99,44.62,"Available (1)",Active
"Wilson Pickle Pro Women's",,,,,Shoes,79.99,44.62,"Available (2)",Active
"Wilson Pro Staff 26""",,,,,Racquets,99.99,0.00,"Available (2)",Active
"Wilson Pro Staff 97 Classic",,,,,Racquets,299.99,154.00,"Out of Stock",Active
"Wilson Pro Staff 97L Classic",,,,,Racquets,289.99,150.15,"Available (3)",Active
"Wilson Pro Staff Classic Backpack",,,,,Bags,109.99,50.05,"Out of Stock",Active
"Wilson Pro Staff Precision 19""",,,,,Racquets,39.99,18.05,"Available (1)",Active
"Wilson Pro Staff Precision 21""",,,,,Racquets,39.99,18.05,"Out of Stock",Active
"Wilson Pro Staff Precision 23""",,,,,Racquets,39.99,18.05,"Out of Stock",Active
"Wilson Pro Staff Precision 25""",,,,,Racquets,39.99,18.05,"Available (1)",Active
"Wilson Replacement Grip",,,,,Accessories,11.99,5.19,"Available (49)",Active
"Wilson RF 01",,,,,Racquets,329.99,152.25,"Available (6)",Active
"Wilson RF 01 FUTURE",,,,,Racquets,309.99,139.20,"Available (2)",Active
"Wilson RF 01 PRO",,,,,Racquets,349.99,160.95,"Available (1)",Active
"Wilson RF Backpack",,,,,Bags,149.99,69.60,"Out of Stock",Active
"Wilson RF Dampener",,,,,Accessories,6.99,3.70,"Available (3)",Active
"Wilson RF Practice Bag",,,,,Bags,189.99,95.70,"Out of Stock",Active
"Wilson RF Racquet Cover",,,,,Bags,69.99,26.10,"Out of Stock",Active
"Wilson RF Replacement Grip",,,,,Accessories,11.99,5.22,"Available (2)",Active
"Wilson RF Tournament Bag",,,,,Bags,209.99,108.75,"Out of Stock",Active
"Wilson Rush Pro 4.0 Women's",,,,,Shoes,79.99,74.09,"Available (5)",Active
"Wilson Rush Pro 4.5",,,,,Shoes,79.99,66.34,"Available (4)",Active
"Wilson Rush Pro 5.0",,,,,Shoes,169.99,79.08,"Available (3)",Active
"Wilson Rush Pro Junior",,,,,Shoes,64.99,31.27,"Available (3)",Active
"Wilson Sensation",,,,,String,29.99,5.85,"Available (17.5)",Active
"Wilson Sensation Plus",,,,,String,32.99,6.41,"Available (31)",Active
"Wilson Super Tour 15PK Red",,,,,Bags,179.99,52.00,"Available (1)",Active
"Wilson Super Tour Red 9PK",,,,,Bags,149.99,65.45,"Out of Stock",Active
"Wilson Super Tour Red Backpack",,,,,Bags,119.99,50.05,"Out of Stock",Active
"Wilson Team Backpack",,,,,Bags,79.99,26.95,"Out of Stock",Active
"Wilson Tour Black 12PK",,,,,Bags,129.99,46.20,"Out of Stock",Active
"Wilson Tour Black Backpack",,,,,Bags,99.99,34.65,"Out of Stock",Active
"Wilson Ultra 100",,,,,Racquets,299.99,119.35,"Available (2)",Active
"Wilson Ultra 100L",,,,,Racquets,289.99,111.65,"Available (3)",Active
"Wilson Ultra 12PK v4",,,,,Bags,139.99,0.00,Unavailable,Active
"Wilson Ultra 12PK v5",,,,,Bags,129.99,50.05,"Available (1)",Active
"Wilson Ultra 25""",,,,,Racquets,139.99,53.90,"Available (1)",Active
"Wilson Ultra 26""",,,,,Racquets,139.99,53.90,"Out of Stock",Active
"Wilson Ultra 3PK",,,,,Bags,79.99,30.80,"Available (1)",Active
"Wilson Ultra 99 PRO",,,,,Racquets,299.99,119.35,"Available (5)",Active
"Wilson Ultra Backpack",,,,,Bags,99.99,38.50,"Available (1)",Active
"Wilson Ultra Power Pink 19""",,,,,Racquets,44.99,19.25,"Available (1)",Active
"Wilson Ultra Power Pink 21""",,,,,Racquets,44.99,19.25,"Available (1)",Active
"Wilson Ultra Power Pink 23""",,,,,Racquets,44.99,19.25,"Out of Stock",Active
"Wilson Ultra Power Pink 25""",,,,,Racquets,44.99,19.25,"Available (2)",Active
"Wilson US Open",,,,,Balls,5.88,3.57,"Available (31)",Active
"Wilson US Open Jr Racquet (all sizes)",,,,,Racquets,39.99,16.90,"Available (1)",Active
"Wilson Vibration Dampener (2-pk)",,,,,Accessories,5.99,3.39,"Available (30)",Active
Wristband,,,,,Accessories,6.99,4.75,"Out of Stock",Active
"Zinka Lip Balm",,,,,Accessories,5.99,2.99,"Available (64)",Active
"Zinka Sunscreen Face Stick",,,,,Accessories,11.99,5.99,"Available (12)",Active
"Zinka Sunscreen Lotion",,,,,Accessories,10.99,5.49,"Available (11)",Active
"Zinka Sunscreen Spray",,,,,Accessories,13.99,6.99,"Available (9)",Active
